,unixtime,price,amount
732,1714360146,62510.0,0.11346702
733,1714360132,62522.0,0.00058251
734,1714360113,62511.0,0.00126038
735,1714360112,62517.0,0.00910171
736,1714360090,62527.0,0.00030329
737,1714360077,62563.0,0.00056
738,1714360068,62566.0,0.00031531
739,1714360064,62552.0,0.00153
740,1714360063,62557.0,0.0006
741,1714360062,62539.0,0.044
742,1714360046,62554.0,0.0003
743,1714360045,62550.0,0.1612
744,1714360045,62550.0,0.1612
745,1714360045,62550.0,0.0765
746,1714360045,62550.0,0.0911
747,1714360035,62520.0,0.00124
748,1714360033,62528.0,0.00091013
749,1714360020,62510.0,0.11346702
750,1714360011,62510.0,0.00041497
751,1714359999,62511.0,0.00159
752,1714359996,62511.0,0.00144
753,1714359991,62511.0,0.00071
754,1714359990,62510.0,0.11346702
755,1714359987,62518.0,0.01173155
756,1714359970,62519.0,0.0023344
757,1714359970,62518.0,0.11346702
758,1714359968,62518.0,0.05
759,1714359961,62550.0,0.00029829
760,1714359934,62518.0,0.00475359
761,1714359934,62518.0,0.23
762,1714359934,62518.0,0.11346702
763,1714359932,62525.0,0.36548726
764,1714359932,62525.0,0.23261361
765,1714359932,62525.0,0.00220529
766,1714359932,62533.0,0.52325179
767,1714359932,62533.0,0.00192931
768,1714359932,62540.0,0.48664708
769,1714359930,62540.0,0.11126244
770,1714359930,62540.0,0.00220458
771,1714359909,62548.0,0.0145
772,1714359900,62548.0,0.0026112
773,1714359894,62541.0,0.2314
774,1714359894,62541.0,0.1612
775,1714359894,62541.0,0.1612
776,1714359894,62541.0,0.1612
777,1714359891,62548.0,0.35833897
778,1714359891,62548.0,0.16474543
779,1714359891,62548.0,0.00192869
780,1714359891,62555.0,0.59771837
781,1714359891,62555.0,0.00220388
782,1714359891,62563.0,0.08540363
783,1714359891,62563.0,0.43751352
784,1714359891,62563.0,0.00192807
785,1714359891,62570.0,0.41255841
786,1714359890,62570.0,0.11346702
787,1714359890,62570.0,0.07150184
788,1714359890,62570.0,0.00220317
789,1714359890,62578.0,0.77829499
790,1714359890,62578.0,0.0018
791,1714359890,62578.0,0.0067
792,1714359890,62578.0,0.0109
793,1714359890,62578.0,0.013
794,1714359890,62578.0,0.0002
